,Produto,Preco
103,"OSALADI Microfone de mesa USB condensador para computador, microfone plug and play, microfone USB para PC, laptop, streaming ao vivo, gravação, podcasts",45.0
104,Teclado Multilaser Slim Standard USB Preto - TC065,29.0
105,Computador Completo Core i5 4° Geração 8gb Hd 500gb + Monitor 18.5 + Wi-fi,3199.0
106,"Cabo de Força para Computador 10A 1, 2Mt Tripolar X-CELL, Xcell, Cabos para computadores e notebooks, Preto",29.0
107,Fonte Aerocool 350W VX-350 EN57181,122.0
108,SUPORTE PARA CPU PC310031 PRETO - MASTICMOL,38.0
109,Computador PC CPU Intel Core i5 8GB SSD 240GB HDMI FullHD Áudio 5.1 canais Wifi Quantum Star Slim,1909.0
110,"Razer Headset Kraken X Lite Multi Platform, Razer, Microfones e fones de ouvido",289.0
111,"COMPUTADOR GAMER, SKUL, 5000 - I5 9400F 2.9GHZ(TURBO 4.1GHZ) MEM 8GB DDR4 SSD 240GB RX550 4GB FONTE 500W PFC ATIVO WIN 10 HOME, Preto",5641.0
112,"Cabo USB AM/BM 2.0 3m, Force Line, Acessórios para Computador, Preto",23.0
113,Webcam USB Full HD 1080P Microfone Embutido WB Amplo Ângulo 110° + Tripé,198.0
114,"Computador IntelCore i5, 3,2G, com HMDI, 500GB, Windows 10 e Wi-Fi",1659.0
115,Computador Pc Cpu Intel Core i5 Com Hdmi 16GB HD 500GB+SSD 240GB Windows 10 Wifi Desktop,2200.0
116,"Computador Core I5 Quad Core intel, 8GB Memoria, SSD 240GB ultra velocidade, Gabinete com fonte",1649.0
117,Fonte de Alimentação ATX 500W 20+4ap 110/220V Bivolt Silenciosa de Computador Gabinete Pc Gamer,184.0
118,"Computador Completo Intel Core i5 8GB HD 1TB Windows 10 Monitor 19"" HDMI 3green ElitePC Slim",3349.0
119,"Computador Desktop Jab Computadores Intel Core I3 2100 3.1 GhZ, Memoria RAM DDR3 de 4GB + SSD 120 Gb+ WIFI + Teclado + Mouse",1299.0
120,COMPUTADOR BUSINESS B500 - I5 4570 3.2GHZ 8GB DDR3 SSD 240GB HDMI/VGA FONTE 300W,2842.0
121,Computador Intel Core i7 16GB SSD 480GB EasyPC Go,2754.0
122,Suporte para gabinete modelo sc-20bk preto c3 tech.,33.0
123,COMPUTADOR HOME H100 - CELERON DUAL CORE J1800 2.41GHZ 4GB DDR3 SODIMM SSD 120GB HDMI/VGA FONTE 200W,1321.0
124,"All in One 24"" Full HD Intel Core i5 8GB SSD 240GB 3green Speed 2",4389.0
125,Computador Intel Core i5 3.2Ghz Com Hdmi 8GB HD 500GB Windows 10 Wifi Desktop Pc,1558.0
126,Pc Gamer Completo I5 8gb HD 500 Placa de Vídeo Monitor HDMI,3889.0
127,Caixa Caixinha de Som Gamer Pc Soundbar Gamer Led Rgb Para Computador Tv Notebook Gamer Usb Auxiliar P2 Luz de Led Sincronizada,129.0
128,"Suporte de Monitor 2 Gavetas, Mdf Preto (Black Piano) - Souza & Cia",78.0
129,"ZIXING Webcam de computador HD 1080p, câmera Web de ângulo ultra grande com microfone de redução de ruído, adequada para computadores de mesa, laptop, PC, jogos, rede, ensino de conferência",173.0
130,Sangmei Cabo HDMI 2.1 Cabo HD com 8K de resolução 4K a 120Hz Visão 3D 48Gbps Largura de banda para o computador Smart Box Projector 3m,159.0
131,"Prasacco Capa para monitor de computador PU 24""",97.0
132,Pc Gamer Completo Maximus I5 GT 730 4GB 8GB Hd 1Tb Wi-fi,4199.0
133,Pc Gamer Bravus Intel i7 GTX 1650 16GB Hd 1TB SSD 120GB Wi-fi,8990.0
134,"Rato para jogos RGB sem fio, mouse de computador óptico USB de 2,4 GHz com RGB, 5 DPI ajustável até 3600, mouse de laptop ergonômico com 7 botões programáveis,rosa",159.0
135,"Mousepad Wave Rest Pro, Maxprint, Acessórios para Computador",50.0
136,"Caixa de som gamer led rgb Adamantiun Aeros pc computador notebook celular tv cabo 1,80mt entrada para fone",165.0
137,Pc Cpu Intel Core I5 Quad Core + 8gbram + ssd 240gb,1439.0
138,"Computador Gamer Mvx5 Intel I5 7400 3.0Ghz 7ª Geração Memoria 8Gb Hd 500Gb Hdmi Vga Gtx 1050 2Gb Ddr5 Fonte 400W Linux, Movva",4346.0
139,Computador Completo Intel Core i5 8gb SSD 240GB Monitor Hdmi,3189.0
140,"Capa para webcam (pacote com 3) Allinko capa ultrafina para laptop de 0,06 cm para computador MacBook Pro/Air iMac iPhone Celular, PC, tablet, notebook, Surface Pro, Echo Show, bloqueador de câmera Slider – Preto",20.0
141,Pc Gamer Completo I5 8gb HD 500 Placa de Vídeo Monitor HDMI,3889.0
142,"Notebook Lenovo Ultrafino ideapad S145 i5-1035G1 8GB 256GB SSD Windows 10 15.6"" FHD 82DJ000GBR Prata",3324.0
143,Mesa para Computador Gamer 136cm Fellicci Móveis Suporte CPU Vermelha/Grafite,246.0
144,Teclado Gamer Mecanico Iluminado Led Switch Blue Anti Ghosting para Pc Computador Ps4 Ps5 Xbox Teclado Mecanico Para Jogos com Varios Efeitos e Botão Rotary Macro,259.0
145,"FONE HEADSET GO PLAY FM35 PRETO COM MICROFONE, VINIK, 20202",49.0
146,"Pc Gamer Intel Core i5 9ª Geração, 16GB RAM DDR4, GT 730 4GB, SSD 240GB, Fonte 500w",5565.0
147,"Computador IntelCore i5, 3,2G, com HMDI, 500GB, Windows 10 e Wi-Fi",1659.0
148,Computador Pc Cpu Intel Core i5 Com Hdmi 16GB HD 500GB+SSD 240GB Windows 10 Wifi Desktop,2200.0
149,"Computador Core I5 Quad Core intel, 8GB Memoria, SSD 240GB ultra velocidade, Gabinete com fonte",1649.0
150,Fonte de Alimentação ATX 500W 20+4ap 110/220V Bivolt Silenciosa de Computador Gabinete Pc Gamer,184.0
151,"Cadeira Gamer Inclinação Até 15º Verde Warrior - Ga160, Warrior, Acessórios para Computador",917.0
152,Suporte para gabinete modelo sc-20bk preto c3 tech.,33.0
153,Computador Intel Core i5 16GB SSD 240GB EasyPC Go,1748.0
