,Produto,Preco
169,Computador Desktop Dell Vostro VST-3681-M11 10ª Geração Intel Core i3 4GB 256GB SSD Windows,2969.1
662,Computador Fácil Intel Core i7 3.4GHz 16GB HD 1TB,2286.74
190,Computador PC CPU Slim Intel Core i5 4GB 500GB EasyPC,1382.63
811,Computador PC CPU Intel 10ª Geração 8GB SSD 480GB HDMI 4K Áudio 5.1 canais Skill DC,2005.99
161,Computador Desktop Completo com Monitor LED HDMI Intel Core i5 3.40Ghz 8GB HD 500GB Wifi com mouse e teclado EasyPC SlimDesk,2368.79
449,Computador Pc Completo i5 3 Geração 8gb Hd 500GB Wi-fi,2603.07
965,"Computador Completo Fácil Intel Core i3 4GB HD 500GB Monitor 19"" HDMI LED Teclado e Mouse",1684.74
378,Computador Desktop Dell Vostro VST-3681-MS41 10ª Geração Intel Core i7 8GB 512GB SSD Windows,5147.1
748,"Computador Completo Fácil Intel 4GB SSD 240GB Monitor 19"" HDMI LED Teclado e Mouse",1929.0
316,Computador intel 8gb ram hd 500gb c/ monitor teclado e mouse,2129.69
96,"Kit Computador Desktop Dell Vostro 3681-M30M 10ª Geração Intel Core i5 8GB 256SSD Windows 10 + Monitor 23.8""",4976.1
1033,"Computador Gamer JUGGER Intel Core i7 Série 6K RAM 16/32GB, NVMe, Radeon RX 550 4GB, Windows 10",6037.25
330,Computador ICC IV2347SWM15 Intel Core I3 3.20Ghz 4GB HD 240GB SSD Monitor LED Windows 10,1741.65
655,Computador Pc Completo Intel Core i3 8GB HD 500GB Wi-fi,2339.1
97,Computador Desktop Intel Core i5 8GB HD 1TB Wifi HDMI Full HD EasyPC Terabyte Slim,1789.61
818,"Computador Completo Intel 10ª Geração Dual Core Monitor 19"" HDMI 8GB SSD 480GB Skill PC",2779.49
767,Computador Gamer Fácil Intel Core i5 9400f (Nona Geração) 8GB DDR4 GT 420 4GB 128 bits HD 1TB Fonte 500W,3387.54
854,Computador Completo CORE I5 8GB Memoria SSD 120GB - Chipset,1605.5
834,"Computador Gamer Completo Com Wi-fi A4 7300, 16gb",2735.05
671,Computador Completo Pc i5 Monitor 19” Intel Core i5 Com Hdmi 8GB SSD 120GB Windows 10 Teclado e Mouse - Slim Corp,1994.05
444,Computador Fácil Slim Intel Core i5 8GB SSD 120GB,1478.34
995,Pc Computador Core I5 16 Gb ssd 480 Gb Windows10,2440.0
721,"Computador Completo Fácil Intel Core i3 4GB SSD 240GB Monitor 19"" HDMI LED Teclado e Mouse",1805.14
887,"Computador EasyPC Slim White Intel Core i5 4GB HD 3TB Monitor LED 19.5"" HQ HDMI Branco",2679.59
403,Computador completo intel 8gb ram hd 500gb teclado e mouse,1348.49
